Item #,Component Name,Source URL,Unit Price (INR),Quantity,Total Price (INR)
1,ESP32 WROOM WiFi+BLE IoT NodeMCU Board,https://makerbazar.in/products/esp32-wroom-wifi-ble-bluetooth-iot-node-mcu-board?variant=48251050164464,445.0,1,445.0
2,Generic 103450 3.7V 2000mAh LiPo Battery Single Cell,https://makerbazar.in/products/generic-103450-3-7-v-2000mah-lipo-battery-single-cell-lithium-polymer-battery?variant=48251156660464,349.0,2,698.0
3,Adafruit TLV320DAC3100 I2S DAC with Headphone & Speaker Out,https://robu.in/product/adafruit-tlv320dac3100-i2s-dac-with-headphone-and-speaker-out,1099.0,1,1099.0
4,DIY Power Supply Charger Module 5V 1A/2A,https://makerbazar.in/products/diy-power-supply-charger-module-5v-1a-2a-for-mobile-backup-battery-pack?variant=48251014414576,60.0,1,60.0
5,Tactile Push Button,https://makerbazar.in/products/tactile-push-button?variant=45858433007856,45.0,1,45.0
6,Tactile Push Button Switch Cap,https://makerbazar.in/products/tactile-push-button-switch-cap?variant=46785064960240,30.0,1,30.0
7,Custom 3D Printed Enclosure / Part,Robu 3D Print Service,200.0,1,200.0
8,ST7789 8P 76x284 SPI 2.25 Inch Long Strip LCD Screen Display Module,https://ifuturetech.org/product/st7789-8p-76x284-spi-2-25-inch-long-strip-lcd-screen-display-module/,350.0,1,350.0
9,TESTIN ELECTRONICS Micro SD Storage Board SPI Interface,https://www.amazon.in/TESTIN-ELECTRONICS-Storage-Interface-Compatible/dp/B0FY7GZ4GJ,199.0,1,199.0
10,4GB microSDXC Card,https://www.amazon.in/dp/B0GVJYYQX5,350.0,1,350.0
11,Estimated Shipping Charges,Multiple Vendors,260.0,1,260.0
,,,,Total,3736.0